"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"447",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",353477,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",346018,633531,750021,NA,NA,NA,NA,NA,NA,NA
"450",250691,337347,NA,NA,NA,NA,NA,NA,NA,NA
"451",75793,337581,581507,1261435,NA,NA,NA,NA,NA,NA
"452",36000,748244,NA,NA,NA,NA,NA,NA,NA,NA
"453",112617,1185398,1240389,1273624,1461152,NA,NA,NA,NA,NA
"454",16926,86752,303489,362438,421163,533638,913764,1355121,NA,NA
"455",510833,623625,NA,NA,NA,NA,NA,NA,NA,NA
"456",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458",1110810,1210428,NA,NA,NA,NA,NA,NA,NA,NA
"459",101628,108302,594785,946817,NA,NA,NA,NA,NA,NA
"460",98111,220970,661508,1234905,NA,NA,NA,NA,NA,NA
"461",786160,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462",362834,862371,1127221,NA,NA,NA,NA,NA,NA,NA
"463",161462,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465",658090,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468",928740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469",163847,625771,881377,NA,NA,NA,NA,NA,NA,NA
"470",209234,719679,NA,NA,NA,NA,NA,NA,NA,NA
"471",247802,465178,480237,723203,996274,1036878,NA,NA,NA,NA
"472",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473",42732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474",72137,586800,635687,718229,1260110,1369103,NA,NA,NA,NA
"475",159713,551013,561750,872523,931238,952625,952869,1235449,1454422,NA
"476",982696,1069464,1143423,1280763,1304039,NA,NA,NA,NA,NA
"477",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",425609,438397,NA,NA,NA,NA,NA,NA,NA,NA
"479",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",108062,235550,661780,NA,NA,NA,NA,NA,NA,NA
"481",1421482,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",373583,1023472,1109609,1179573,1284294,1359132,1418109,1438160,NA,NA
"484",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486",348737,505065,NA,NA,NA,NA,NA,NA,NA,NA
"487",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489",279436,941034,1426400,NA,NA,NA,NA,NA,NA,NA
"490",71894,302609,890449,NA,NA,NA,NA,NA,NA,NA
"491",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494",60314,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495",167179,479206,512645,545536,772352,1256245,NA,NA,NA,NA
"496",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497",595676,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498",943603,1012953,NA,NA,NA,NA,NA,NA,NA,NA
"499",268658,330449,520482,865812,NA,NA,NA,NA,NA,NA
"500",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",1253071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",1179142,1235185,1334084,NA,NA,NA,NA,NA,NA,NA
"503",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504",527529,852288,968126,1134873,NA,NA,NA,NA,NA,NA
"505",1211311,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506",778112,1010799,1328695,NA,NA,NA,NA,NA,NA,NA
"507",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509",77928,130315,435569,506251,590962,1166402,1167307,1208935,NA,NA
