"행정구역시도코드","자산총금액","종사자수_조사_총소계","산업대분류코드","주사업_산업중분류코드","주사업_산업소분류코드","주사업_산업세분류코드","주사업_산업세세분류코드"
11,,11,C,15,2,1,1
11,,11,C,15,2,1,9
11,,11,C,17,2,2,9
11,,11,C,17,9,0,1
11,,11,C,17,9,0,9
11,,11,C,18,1,1,1
11,,11,C,18,1,1,2
11,,11,C,18,1,1,2
11,,11,C,18,1,1,3
11,,11,C,18,1,1,3
11,,11,C,18,1,1,3
11,,11,C,18,1,1,3
11,,11,C,18,1,1,3
11,,11,C,18,1,1,9
11,,11,C,18,1,1,9
11,,11,C,18,1,1,9
11,,11,C,18,1,2,2
11,,11,C,18,1,2,2
11,,11,C,18,1,2,2
11,,11,C,18,1,2,9
11,,11,C,18,1,2,9
11,,11,C,20,4,2,3
11,,11,C,22,1,9,1
11,,11,C,22,1,9,1
11,,11,C,22,2,3,1
11,,**,C,22,2,5,9
11,,**,C,25,9,1,4
11,,11,C,25,9,2,4
11,,11,C,25,9,9,1
11,,11,C,26,1,2,9
11,,11,C,26,4,2,1
11,,11,C,26,4,2,9
11,,11,C,27,1,9,1
11,,11,C,27,1,9,2
11,,11,C,27,1,9,2
11,,11,C,27,1,9,2
11,,11,C,27,1,9,2
11,,11,C,27,1,9,2
11,,11,C,27,1,9,2
11,,11,C,28,1,2,2
11,,11,C,29,1,7,1
11,,11,C,29,1,7,3
11,,11,C,29,2,9,4
11,,11,C,29,2,9,4
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,1,1,0
11,,11,C,33,9,1,0
11,,11,C,33,9,3,2
11,,11,C,33,9,9,1
11,,**,C,34,0,1,1
11,,12,C,10,1,2,9
11,,12,C,10,3,0,1
11,,12,C,10,7,1,2
11,,12,C,10,7,5,1
11,,12,C,13,3,0,0
11,,12,C,13,3,0,0
11,,12,C,13,4,0,3
11,,12,C,13,4,0,3
11,,12,C,13,9,9,1
11,,12,C,14,1,1,1
11,,12,C,14,1,1,1
11,,12,C,14,1,1,1
11,,12,C,14,1,1,1
11,,12,C,14,1,1,1
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,1,2
11,,12,C,14,1,2,0
11,,12,C,14,1,2,0
11,,12,C,14,1,2,0
11,,12,C,14,1,2,0
11,,12,C,14,1,2,0
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,1
11,,12,C,14,1,9,2
11,,12,C,14,1,9,2
11,,12,C,14,1,9,2
11,,12,C,14,1,9,9
11,,12,C,14,3,0,0
11,,12,C,14,3,0,0
11,,12,C,14,3,0,0
11,,12,C,14,3,0,0
11,,12,C,14,3,0,0
11,,12,C,14,3,0,0
11,,12,C,14,4,1,1
11,,12,C,14,4,9,9
11,,12,C,15,1,2,1
11,,12,C,15,2,1,1
11,,12,C,15,2,1,1
11,,12,C,15,2,1,1
11,,12,C,15,2,1,1
11,,12,C,17,9,0,9
11,,12,C,18,1,1,1
11,,12,C,18,1,1,2
11,,12,C,18,1,1,2
11,,12,C,18,1,1,3
11,,12,C,18,1,1,3
11,,12,C,18,1,1,3
11,,12,C,22,1,9,1
11,,**,C,24,1,3,2
11,,12,C,25,9,2,9
11,,12,C,25,9,9,1
11,,12,C,26,2,2,4
11,,12,C,26,2,9,9
11,,12,C,26,5,2,1
11,,12,C,27,1,1,2
11,,12,C,27,1,9,2
11,,12,C,27,1,9,2
11,,12,C,27,1,9,2
11,,12,C,27,1,9,2
11,,12,C,27,1,9,2
11,,12,C,27,1,9,2
11,,12,C,27,1,9,9
11,,12,C,28,4,1,0
11,,12,C,29,2,5,0
11,,12,C,29,2,9,4
11,,12,C,29,2,9,4
11,,12,C,29,2,9,9
11,,**,C,30,4,0,0
11,,12,C,33,1,1,0
11,,12,C,33,1,1,0
11,,12,C,33,1,1,0
11,,12,C,33,1,1,0
11,,12,C,33,1,1,0
11,,12,C,33,1,1,0
11,,12,C,33,1,1,0
11,,12,C,33,9,1,0
11,,12,C,33,9,3,2
11,,12,C,33,9,9,1
11,,13,C,10,7,1,2
11,,13,C,10,7,3,0
11,,13,C,10,7,5,9
11,,13,C,13,2,2,1
11,,13,C,13,2,2,2
11,,13,C,13,4,0,9
11,,13,C,14,1,1,1
11,,13,C,14,1,1,1
11,,13,C,14,1,1,1
11,,13,C,14,1,1,1
11,,13,C,14,1,1,1
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,1,2
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,1
11,,13,C,14,1,9,2
11,,13,C,14,1,9,2
11,,13,C,14,1,9,2
11,,13,C,14,1,9,2
11,,13,C,14,1,9,2
11,,13,C,14,1,9,3
11,,13,C,14,2,0,0
11,,13,C,14,3,0,0
11,,13,C,14,3,0,0
11,,13,C,14,3,0,0
11,,13,C,14,4,1,9
11,,13,C,15,1,2,1
11,,13,C,15,1,2,1
11,,13,C,15,2,1,1
11,,13,C,17,1,2,2
11,,13,C,17,1,2,2
11,,13,C,17,2,2,2
11,,13,C,17,9,0,1
11,,13,C,18,1,1,1
11,,13,C,18,1,1,3
11,,13,C,18,1,1,3
11,,13,C,18,1,1,3
11,,13,C,18,1,1,3
11,,13,C,18,1,1,9
11,,13,C,18,1,1,9
11,,13,C,18,1,2,2
11,,13,C,18,1,2,2
11,,13,C,20,4,2,3
11,,13,C,20,4,9,1
11,,13,C,22,1,9,1
11,,13,C,22,2,9,9
11,,**,C,23,1,9,9
11,,**,C,24,1,9,9
11,,13,C,25,9,2,4
11,,13,C,26,2,2,3
11,,13,C,26,4,2,1
11,,13,C,26,4,2,1
11,,13,C,27,1,9,1
11,,13,C,27,1,9,2
11,,13,C,27,1,9,2
11,,13,C,27,1,9,2
11,,13,C,27,1,9,2
11,,13,C,27,1,9,2
11,,13,C,27,1,9,2
11,,13,C,27,1,9,2
11,,13,C,28,1,1,9
11,,13,C,28,3,0,2
11,,13,C,28,5,1,2
11,,13,C,28,5,1,9
11,,13,C,29,2,9,2
11,,13,C,29,2,9,4
11,,13,C,29,2,9,4
11,,13,C,32,0,2,9
11,,13,C,33,1,1,0
11,,13,C,33,1,1,0
11,,13,C,33,1,1,0
11,,13,C,33,1,2,0
11,,13,C,33,4,0,1
11,,13,C,33,9,1,0
11,,13,C,33,9,3,2
11,,13,C,33,9,3,2
11,,14,C,10,7,1,2
11,,14,C,10,7,1,2
11,,14,C,10,7,1,2
11,,14,C,10,7,4,9
11,,14,C,14,1,1,1
11,,14,C,14,1,1,2
11,,14,C,14,1,1,2
11,,14,C,14,1,1,2
11,,14,C,14,1,1,2
11,,14,C,14,1,2,0
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,1
11,,14,C,14,1,9,2
11,,14,C,14,1,9,2
11,,14,C,14,1,9,2
11,,14,C,14,1,9,2
11,,14,C,14,1,9,2
11,,14,C,14,1,9,2
11,,14,C,14,1,9,2
11,,14,C,14,1,9,4
11,,14,C,14,3,0,0
11,,14,C,14,3,0,0
11,,14,C,14,3,0,0
11,,14,C,14,4,9,9
11,,14,C,15,1,2,9
11,,14,C,15,2,1,1
11,,14,C,15,2,1,1
11,,14,C,17,1,2,4
11,,14,C,17,2,2,1
11,,14,C,17,2,2,2
11,,14,C,17,9,0,1
11,,14,C,18,1,1,3
11,,14,C,18,1,1,3
11,,14,C,18,1,1,3
11,,14,C,18,1,1,3
11,,14,C,18,1,1,3
11,,14,C,18,1,1,3
11,,14,C,18,1,1,3
11,,14,C,18,1,1,9
11,,14,C,18,1,2,9
11,,14,C,22,1,9,1
11,,14,C,22,2,3,2
11,,14,C,26,2,2,4
11,,14,C,27,1,9,2
11,,14,C,27,1,9,2
11,,14,C,27,1,9,2
11,,14,C,27,1,9,2
11,,14,C,27,1,9,2
11,,14,C,27,1,9,2
11,,14,C,28,4,2,3
11,,14,C,29,2,9,1
11,,14,C,29,2,9,4
11,,14,C,29,2,9,4
11,,14,C,33,1,1,0
11,,14,C,33,1,1,0
11,,14,C,33,1,1,0
11,,15,C,10,3,0,9
11,,15,C,10,7,1,1
11,,15,C,10,7,5,1
11,,15,C,13,9,9,1
11,,15,C,14,1,1,1
11,,15,C,14,1,1,1
11,,15,C,14,1,1,1
11,,15,C,14,1,1,1
11,,15,C,14,1,1,2
11,,15,C,14,1,1,2
11,,15,C,14,1,1,2
11,,15,C,14,1,1,2
11,,15,C,14,1,1,2
11,,15,C,14,1,1,2
11,,15,C,14,1,2,0
11,,15,C,14,1,2,0
11,,15,C,14,1,2,0
11,,15,C,14,1,9,1
11,,15,C,14,1,9,1
11,,15,C,14,1,9,1
11,,15,C,14,1,9,1
11,,15,C,14,1,9,1
11,,15,C,14,1,9,1
11,,15,C,14,1,9,1
11,,15,C,14,1,9,4
11,,15,C,14,3,0,0
11,,15,C,14,3,0,0
11,,15,C,14,4,1,1
11,,15,C,15,1,2,9
11,,15,C,15,2,1,1
11,,15,C,15,2,1,1
11,,**,C,17,2,2,3
11,,15,C,17,2,2,9
11,,15,C,18,1,1,1
11,,15,C,18,1,1,2
11,,15,C,18,1,1,3
11,,15,C,18,1,1,3
11,,15,C,18,1,1,3
11,,15,C,18,1,1,3
11,,15,C,18,1,1,3
11,,15,C,18,1,1,9
11,,15,C,18,1,2,2
11,,15,C,22,2,3,1
11,,15,C,22,2,3,2
11,,15,C,22,2,4,9
11,,15,C,22,2,4,9
11,,15,C,22,2,9,9
11,,**,C,24,3,2,9
11,,15,C,26,2,9,9
11,,15,C,27,1,9,2
11,,15,C,27,1,9,2
11,,15,C,27,1,9,2
11,,15,C,27,1,9,2
11,,15,C,27,1,9,2
11,,15,C,28,4,1,0
11,,15,C,28,4,2,2
11,,15,C,33,1,1,0
11,,15,C,33,1,1,0
11,,15,C,33,1,1,0
11,,15,C,33,4,0,1
11,,15,C,33,9,9,1
11,,16,C,13,2,2,2
11,,16,C,13,4,0,9
11,,16,C,13,9,9,1
